portfolio_name,market,ablation,reference_strategy,cumulative_return,delta_cumulative_return,sharpe,delta_sharpe,information_ratio,delta_information_ratio,model_score,delta_model_score
jp_financial_industrial_mix,jp,equal_weight,smart_policy_oos_guard,0.7434694548995742,-0.14639785543178374,1.425301413150423,-0.09830306315110948,0.10578402853486861,-0.2249011028077294,62.7,-1.5
jp_financial_industrial_mix,jp,inverse_volatility,smart_policy_oos_guard,0.7454209621963899,-0.14444634813496804,1.4312751552428262,-0.09232932105870617,0.10894597882562058,-0.22173915251697746,62.8,-1.4000000000000057
jp_financial_industrial_mix,jp,mean_variance,smart_policy_oos_guard,0.901108992311251,0.011241681979893059,1.4508500961341142,-0.0727543801674182,0.3222788633814004,-0.008406267961197644,63.2,-1.0
jp_financial_industrial_mix,jp,raw_black_litterman,smart_policy_oos_guard,0.907473562221984,0.017606251890626146,1.5380712026258017,0.014466726324269263,0.3535784224254591,0.02289329108286109,64.4,0.20000000000000284
jp_financial_industrial_mix,jp,smart_policy,smart_policy_oos_guard,0.8898673103313579,0.0,1.5236044763015324,0.0,0.330685131342598,0.0,64.2,0.0
jp_financial_industrial_mix,jp,smart_policy_oos_guard,smart_policy_oos_guard,0.8898673103313579,0.0,1.5236044763015324,0.0,0.330685131342598,0.0,64.2,0.0
jp_index_style_blend,jp,equal_weight,smart_policy_oos_guard,-0.011236184551846051,0.003071475802086332,-0.016189496223352945,0.004185860155035408,-0.9188797462887147,-0.0045628292308486085,33.3,0.09999999999999432
jp_index_style_blend,jp,inverse_volatility,smart_policy_oos_guard,-0.31762524649814794,-0.30331758614421556,-0.2963420913737007,-0.2759667349953124,-0.8599348756919467,0.0543820413659194,25.0,-8.200000000000003
jp_index_style_blend,jp,mean_variance,smart_policy_oos_guard,-0.10534077734657943,-0.09103311699264705,-0.13215551500745254,-0.11178015862906418,-0.8980311393180535,0.016285777739812657,30.7,-2.5000000000000036
jp_index_style_blend,jp,raw_black_litterman,smart_policy_oos_guard,-0.07152211927339358,-0.0572144589194612,-0.09500432198949321,-0.07462896561110485,-0.9140098094804465,0.0003071075774195853,31.8,-1.4000000000000021
jp_index_style_blend,jp,smart_policy,smart_policy_oos_guard,-0.07153870573242893,-0.05723104537849655,-0.09502409567396598,-0.07464873929557764,-0.9140069996156448,0.000309917442221308,31.8,-1.4000000000000021
jp_index_style_blend,jp,smart_policy_oos_guard,smart_policy_oos_guard,-0.014307660353932383,0.0,-0.020375356378388353,0.0,-0.9143169170578661,0.0,33.2,0.0
tw_defensive_income_financials,tw,equal_weight,smart_policy_oos_guard,0.39164627672596186,0.07178043407772661,1.2581162364586438,0.07055854835583197,-1.142087479359605,0.22316601110811374,59.3,0.5
