portfolio_name,market,strategy,decision_policy,policy_asof,policy_confidence,policy_max_weight,policy_min_weight,policy_turnover_penalty,policy_concentration_penalty,policy_risk_level,policy_regime,policy_anomaly_impact,oos_leakage_guard,row_count,cumulative_return,benchmark_cumulative_return,benchmark_excess_return,annualized_return,annualized_volatility,max_drawdown,expected_shortfall,sharpe,information_ratio,turnover,model_score,model_grade,model_score_risk_control,model_score_profitability,model_score_alpha,model_score_stability,model_score_win_rate
jp_auto_electronics_core,jp,equal_weight,,,,,,,,,,,,407,0.4961402139706508,0.6874638801848292,-0.1913236662141784,0.2833250014723441,0.26720253599762556,-0.23473274633386293,-0.05698132007564862,1.0603379957249424,-0.5382908560745003,0.0,55.4,C,66.6,71.8,19.2,55.2,46.7
jp_auto_electronics_core,jp,inverse_volatility,,,,,,,,,,,,407,0.43069200196725177,0.6874638801848292,-0.2567718782175774,0.24827040002945377,0.2460701107767496,-0.2178434856476293,-0.051364452638731274,1.0089417168373627,-0.7126761460564945,0.2639754736926917,55.2,C,70.6,70.3,15.7,61.3,45.2
jp_auto_electronics_core,jp,mean_variance,,,,,,,,,,,,407,0.46255130548393497,0.6874638801848292,-0.2249125747008942,0.2654091120610691,0.31078594548330096,-0.2806463063515378,-0.06939875706258489,0.8539932899743369,-0.518322798999152,3.735252392840228,50.0,C,56.4,65.6,19.6,43.5,45.7
jp_auto_electronics_core,jp,raw_black_litterman,,,,,,,,,,,,407,0.40355793065220014,0.6874638801848292,-0.28390594953262904,0.23355869521703077,0.26496343460675137,-0.24645859793207076,-0.058390218785360284,0.881475195110109,-0.7841342547595758,1.9819104281310458,51.8,C,64.3,66.4,14.3,55.8,45.2
jp_auto_electronics_core,jp,smart_policy,raw,2024-09-06,0.95,0.3923,0.032,0.0313,0.0293,High,Crisis,none,True,407,0.4029537997296089,0.6874638801848292,-0.2845100804552203,0.2332299175763335,0.2649928620856052,-0.24660698019521765,-0.058409750553382725,0.880136603456848,-0.7851842160214275,1.9979864310893585,51.8,C,64.3,66.4,14.3,55.8,45.5
jp_auto_electronics_core,jp,smart_policy_oos_guard,defensive_blend,2024-09-06,0.95,0.3923,0.032,0.0313,0.0293,High,Crisis,none,True,407,0.4383014158870724,0.6874638801848292,-0.2491624642977568,0.2523769855607927,0.2651519627666449,-0.24078147237733682,-0.057699003200773036,0.9518201673012121,-0.7047207784983102,0.2605925520139735,53.2,C,65.4,68.6,15.9,55.7,46.2
jp_financial_industrial_mix,jp,equal_weight,,,,,,,,,,,,407,0.7434694548995742,0.6874638801848292,0.05600557471474499,0.41083173413224583,0.288242002948809,-0.26225813335459675,-0.06324399414543637,1.425301413150423,0.10578402853486861,0.0,62.7,B,60.7,82.8,44.2,49.6,48.4
jp_financial_industrial_mix,jp,inverse_volatility,,,,,,,,,,,,407,0.7454209621963899,0.6874638801848292,0.05795708201156069,0.4118092969182281,0.2877219627614941,-0.26427036183594915,-0.06392304059721397,1.4312751552428262,0.10894597882562058,0.18470975294931039,62.8,B,60.2,82.9,44.4,49.7,49.1
jp_financial_industrial_mix,jp,mean_variance,,,,,,,,,,,,407,0.901108992311251,0.6874638801848292,0.2136451121264218,0.48850834186859626,0.3367049036769953,-0.27762185678212103,-0.07090548654662245,1.4508500961341142,0.3222788633814004,3.133398885299031,63.2,B,56.7,83.5,52.9,39.0,48.6
jp_financial_industrial_mix,jp,raw_black_litterman,,,,,,,,,,,,407,0.907473562221984,0.6874638801848292,0.22000968203715487,0.49159183461810896,0.31961578487319786,-0.27973941022932747,-0.06955858201909534,1.5380712026258017,0.3535784224254591,2.130670574400444,64.4,B,56.5,86.1,54.1,41.2,48.2
jp_financial_industrial_mix,jp,smart_policy,raw,2024-09-06,0.95,0.3686,0.0353,0.0347,0.0362,Extreme,High Volatility,none,True,407,0.8898673103313579,0.6874638801848292,0.20240343014652873,0.4830523746720954,0.3170457833286753,-0.2782967733214149,-0.0690386585513922,1.5236044763015324,0.330685131342598,2.0593309329001954,64.2,B,56.9,85.7,53.2,41.9,48.2
jp_financial_industrial_mix,jp,smart_policy_oos_guard,raw,2024-09-06,0.95,0.3686,0.0353,0.0347,0.0362,Extreme,High Volatility,none,True,407,0.8898673103313579,0.6874638801848292,0.20240343014652873,0.4830523746720954,0.3170457833286753,-0.2782967733214149,-0.0690386585513922,1.5236044763015324,0.330685131342598,0.37958305521750163,64.2,B,56.9,85.7,53.2,41.9,48.2
jp_defensive_domestic,jp,equal_weight,,,,,,,,,,,,407,0.08303142429285226,0.6874638801848292,-0.6044324558919769,0.05062690302674144,0.14699085816683147,-0.09950093361380967,-0.03345548312809922,0.344422120246968,-1.2292852122208413,0.0,53.0,C,90.5,50.3,5.4,94.0,46.7
