scope,horizon,market,portfolio_name,baseline,row_count,positive_event_count,positive_rate,roc_auc,pr_auc,brier_score,log_loss,calibration_error,precision_at_0_60,recall_at_0_60,top_decile_lift
portfolio,1,us,us_ai_infrastructure_barbell,logistic_regression,409.0,23.0,0.05623471882640587,0.6379815273710295,0.16046814945881388,0.1945779586165363,0.5769528086352002,0.36585361993862514,0.125,0.21739130434782608,2.168610816542948
portfolio,1,us,us_ai_infrastructure_barbell,random_forest,409.0,23.0,0.05623471882640587,0.6557783284523541,0.09963038924339404,0.10829205291651026,0.37354390913490687,0.20984858102865867,0.0,0.0,2.168610816542948
portfolio,1,us,us_dividend_low_volatility,frozen_calibrated_xgboost,409.0,24.0,0.05867970660146699,0.5893939393939394,0.12229267362440974,0.054535352259900416,0.22029253812604294,0.011524972516142585,0.0,0.0,2.078252032520325
portfolio,1,us,us_dividend_low_volatility,frozen_raw_xgboost_without_calibration,409.0,24.0,0.05867970660146699,0.5884199134199135,0.13477680459620373,0.19446172537976872,0.5787755469891983,0.36468771551815393,0.12,0.125,1.6626016260162602
portfolio,1,us,us_dividend_low_volatility,gradient_boosting,409.0,24.0,0.05867970660146699,0.5701298701298702,0.0655845021857292,0.08301514966937695,0.3068659502104917,0.07459954529809107,0.0,0.0,0.41565040650406504
portfolio,1,us,us_dividend_low_volatility,historical_tail_threshold,409.0,24.0,0.05867970660146699,0.513095238095238,0.06073417549578919,0.10757946188753058,2.2293977941634338,0.10757946110268948,0.08333333333333333,0.08333333333333333,1.246951219512195
portfolio,1,us,us_dividend_low_volatility,logistic_regression,409.0,24.0,0.05867970660146699,0.5865800865800866,0.09278744669887053,0.2093880618696536,0.6144401923230735,0.38564730572383865,0.17391304347826086,0.16666666666666666,1.6626016260162602
portfolio,1,us,us_dividend_low_volatility,random_forest,409.0,24.0,0.05867970660146699,0.5938311688311688,0.10424124176496911,0.0995719779224648,0.3627960120606143,0.20074568801620518,0.0,0.0,1.6626016260162602
portfolio,1,us,us_mid_small_sector_mix,frozen_calibrated_xgboost,409.0,23.0,0.05623471882640587,0.7096756026132012,0.1461156119065876,0.051311985828651624,0.20540178000442386,0.011401725650598772,0.0,0.0,2.168610816542948
portfolio,1,us,us_mid_small_sector_mix,frozen_raw_xgboost_without_calibration,409.0,23.0,0.05623471882640587,0.7104077494931291,0.17520266452233468,0.17432770713425177,0.5358696335867257,0.34479349039148877,0.18181818181818182,0.17391304347826086,2.168610816542948
portfolio,1,us,us_mid_small_sector_mix,gradient_boosting,409.0,23.0,0.05623471882640587,0.6326312232484794,0.0804201220538613,0.06558323601308633,0.246352973713189,0.044134729214625024,0.0,0.0,1.3011664899257687
portfolio,1,us,us_mid_small_sector_mix,historical_tail_threshold,409.0,23.0,0.05623471882640587,0.5175715251182699,0.05924988161620458,0.10024449857701712,2.077393399140443,0.1002444977775061,0.09090909090909091,0.08695652173913043,1.3011664899257687
portfolio,1,us,us_mid_small_sector_mix,logistic_regression,409.0,23.0,0.05623471882640587,0.6205226402342869,0.14520876815282646,0.19981643979117822,0.5899736373465178,0.37420485204175685,0.12,0.13043478260869565,2.168610816542948
portfolio,1,us,us_mid_small_sector_mix,random_forest,409.0,23.0,0.05623471882640587,0.6364045956296462,0.1678686716785994,0.10037883826063461,0.3614631706172355,0.21048645188748946,0.6,0.13043478260869565,3.0360551431601275
portfolio,1,us,us_quality_tech_finance,frozen_calibrated_xgboost,409.0,23.0,0.05623471882640587,0.5476458661860779,0.06655737300348478,0.05329311354202028,0.21867119665613904,0.007042354997475168,0.0,0.0,1.3011664899257687
portfolio,1,us,us_quality_tech_finance,frozen_raw_xgboost_without_calibration,409.0,23.0,0.05623471882640587,0.5594728542464519,0.06891683364305637,0.21258993700942874,0.6159735965773167,0.3870101145908127,0.03333333333333333,0.043478260869565216,0.4337221633085896
portfolio,1,us,us_quality_tech_finance,gradient_boosting,409.0,23.0,0.05623471882640587,0.6291394458211308,0.0961002159654118,0.07641863631874218,0.2964547354997767,0.06992010919645521,0.14285714285714285,0.08695652173913043,0.8674443266171792
portfolio,1,us,us_quality_tech_finance,historical_tail_threshold,409.0,23.0,0.05623471882640587,0.5393106555530525,0.06591298801540019,0.09779951080684599,2.0267252675122123,0.097799510002445,0.13043478260869565,0.13043478260869565,1.3011664899257687
portfolio,1,us,us_quality_tech_finance,logistic_regression,409.0,23.0,0.05623471882640587,0.575580085604866,0.17408598058898453,0.1502903538358254,0.477725502993166,0.29361126957265127,0.23809523809523808,0.21739130434782608,3.0360551431601275
portfolio,1,us,us_quality_tech_finance,random_forest,409.0,23.0,0.05623471882640587,0.6001351655778328,0.16007194444651862,0.08786451251426562,0.33298052859270183,0.17937266026733348,0.0,0.0,3.4697773064687167
portfolio,5,cn,cn_consumption_financial_core,frozen_calibrated_xgboost,391.0,24.0,0.061381074168797956,0.5685740236148955,0.1087886104487035,0.05734102528450309,0.23354847019480318,0.007059573517956783,0.0,0.0,3.665625
portfolio,5,cn,cn_consumption_financial_core,frozen_raw_xgboost_without_calibration,391.0,24.0,0.061381074168797956,0.5803814713896458,0.13581117455696032,0.2126683741569739,0.6172201946261459,0.384463338405275,0.17857142857142858,0.20833333333333334,2.8510416666666663
portfolio,5,cn,cn_consumption_financial_core,gradient_boosting,391.0,24.0,0.061381074168797956,0.43778383287920075,0.054524291064126325,0.09458853510435376,0.37515142959038356,0.10010476893471426,0.0,0.0,0.0
portfolio,5,cn,cn_consumption_financial_core,historical_tail_threshold,391.0,24.0,0.061381074168797956,0.4949477747502271,0.060906862745098045,0.10741687958056267,2.226028557642214,0.10741687879539642,0.05,0.041666666666666664,0.40729166666666666
portfolio,5,cn,cn_consumption_financial_core,logistic_regression,391.0,24.0,0.061381074168797956,0.47400090826521346,0.08516549420650257,0.2740493305038498,0.7601172449200629,0.4271944051877627,0.08490566037735849,0.375,1.6291666666666667
