date,horizon,portfolio_name,market,feature,feature_value,shap_value
2025-06-02,1,us_midcap_sector_zero_overlap,us,downside_volatility_20d,0.006394277425480451,0.03361418470740318
2025-06-02,1,us_midcap_sector_zero_overlap,us,skewness_20d,0.6826222709519667,-0.087820865213871
2025-06-02,1,us_midcap_sector_zero_overlap,us,kurtosis_20d,2.342282824966411,-0.0576971098780632
2025-06-02,1,us_midcap_sector_zero_overlap,us,correlation_mean_20d,0.577132701621372,-0.01962273009121418
2025-06-02,1,us_midcap_sector_zero_overlap,us,correlation_max_20d,0.9760768416675835,-0.013344597071409225
2025-06-03,1,us_midcap_sector_zero_overlap,us,portfolio_return_1d,0.012631026574742025,-0.027250761166214943
2025-06-03,1,us_midcap_sector_zero_overlap,us,portfolio_return_5d,0.004590454258019884,-0.08139470964670181
2025-06-03,1,us_midcap_sector_zero_overlap,us,rolling_volatility_5d,0.008964453861144753,-0.061876796185970306
2025-06-03,1,us_midcap_sector_zero_overlap,us,rolling_volatility_20d,0.011472864751567871,0.06186418607831001
2025-06-03,1,us_midcap_sector_zero_overlap,us,rolling_volatility_60d,0.020900954451305798,-0.20902225375175476
2025-06-03,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_5d,0.0009180908516039768,-0.02195577509701252
2025-06-03,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_20d,0.003084293553949989,-0.2067960500717163
2025-06-03,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_20d,-0.03081624103579783,-0.039157964289188385
2025-06-03,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_60d,-0.21400301859518134,-0.1187889501452446
2025-06-03,1,us_midcap_sector_zero_overlap,us,downside_volatility_20d,0.0067426484184065286,0.004635554272681475
2025-06-03,1,us_midcap_sector_zero_overlap,us,skewness_20d,0.4724341197554723,-0.07366857677698135
2025-06-03,1,us_midcap_sector_zero_overlap,us,kurtosis_20d,1.9059599272529222,-0.0422414131462574
2025-06-03,1,us_midcap_sector_zero_overlap,us,correlation_mean_20d,0.5756855806266478,-0.02694309875369072
2025-06-03,1,us_midcap_sector_zero_overlap,us,correlation_max_20d,0.9793588027815484,-0.0006068599177524447
2025-06-04,1,us_midcap_sector_zero_overlap,us,portfolio_return_1d,-0.0018424783420126856,-0.07836013287305832
2025-06-04,1,us_midcap_sector_zero_overlap,us,portfolio_return_5d,0.014031314875862186,-0.17641837894916534
2025-06-04,1,us_midcap_sector_zero_overlap,us,rolling_volatility_5d,0.006371138342204887,-0.07344086468219757
2025-06-04,1,us_midcap_sector_zero_overlap,us,rolling_volatility_20d,0.01140516839984954,0.0569581538438797
2025-06-04,1,us_midcap_sector_zero_overlap,us,rolling_volatility_60d,0.020716433406117053,-0.20655786991119385
